code,product_name,brands,main_category,country,sugars_100g,fat_100g,saturated_fat_100g,salt_100g,fiber_100g,proteins_100g,energy_kcal_100g,additives_count,has_labels,image_saine,bad_nutrition,healthy_illusion
8410261601618,Naranja,Don Simón,beverages-and-beverages-preparations,france,10.0,0.0,0.0,0.01,4.3,0.6,43.0,0,1,0,0,0
4000540003567,Knusper Joghurt Himbeer Müsli,Kölln,plant-based-foods-and-beverages,germany,21.0,9.9,3.8,0.49,7.7,10.0,412.0,0,1,1,1,1
5999991071418,Ivorio Canette Jus Ananas,Ivorio,plant-based-foods-and-beverages,cote-d-ivoire,11.32,0.05,0.0,0.0,4.3,0.35,47.0,0,1,1,1,1
5050854476501,Low fat natural yogurt,Asda,dairies,united-kingdom,5.9,1.5,1.0,0.13,4.3,4.8,56.0,0,0,0,0,0
3023290053973,I love Kefir multifrutti,Nestlé,beverages-and-beverages-preparations,italy,3.8,1.2,0.8,0.1075,4.3,3.0,40.0,2,1,0,0,0
4337256257954,Paradiso milder apfel,Paradiso,beverages-and-beverages-preparations,germany,9.7,0.0,0.0,0.0,4.3,0.0,43.0,0,1,0,0,0
3331720000610,Pomme pur jus,Sautter,plant-based-foods-and-beverages,france,12.0,0.1,0.1,0.02,0.5,0.1,51.0,0,1,1,1,1
3564707090537,Fromage frais aux fruits x 12,"Bio Village, Marque Repère",dairies,france,9.3,2.7,1.8,0.1,0.0,8.1,96.0,0,1,0,0,0
0818290012715,Greek Yogurt Key Lime Blended,Chobani,dairies,united-states,10.7,1.67,1.0,0.10825,0.333,7.33,93.3333333333333,3,0,0,0,0
3564700876633,Yaourt à la grecque au citron,"Délisse,Marque Repère",dairies,france,14.0,7.2,4.7,0.1,0.5,2.2,130.6,0,0,0,0,0
8718734820598,Dattes séchées dénoyautées,Jama Fruits,plant-based-foods-and-beverages,france,48.0,0.5,0.1,0.01,0.0,2.5,296.0,1,0,1,0,0
7311171008386,Havre fras Original,Havre fras,plant-based-foods-and-beverages,denmark,8.6,6.7,1.2,0.85,14.0,14.0,393.333333333333,0,0,1,0,0
5038862231381,"Smoothie rose Pomme, Poire & Betterave",Innocent,plant-based-foods-and-beverages,unknown,10.0,0.0,0.0,0.0,0.53,0.6,51.0,0,1,1,1,1
5744000580920,Müsli Knusper-Schoko,"Bell's, Funkisfood",plant-based-foods-and-beverages,germany,12.0,8.0,3.0,0.0,4.3,12.0,390.0,2,1,1,0,0
8410500015787,danonino fresa,Danone,dairies,france,9.9,2.1,1.5,0.09,4.3,5.9,88.0,3,1,0,0,0
5000462416772,Greek Style Yogurt,Tesco,dairies,france,4.2,7.5,5.1,0.0975,4.3,3.7,99.0,0,0,0,0,0
8422410602582,Muesli cruixent amb fruites vermelles,Bonpreu,plant-based-foods-and-beverages,spain,23.0,13.0,1.4,0.03,6.9,9.4,432.0,1,0,1,0,0
3770004173495,Pur jus d'orange,Elikatxo,plant-based-foods-and-beverages,france,11.0,0.0,0.0,0.0,0.0,0.0,46.0,0,0,1,0,0
5000108170761,So Simple Original Porridge,"Quaker, Quaker Oats",plant-based-foods-and-beverages,united-kingdom,1.0,7.7,1.3,0.0,4.3,11.0,372.0,0,0,1,0,0
4056489296812,Whole grain Müsli,Crownfield,plant-based-foods-and-beverages,germany,17.7,8.3,4.8,0.075,8.5,9.9,376.0,1,1,1,0,0
5900531011016,Serek homogenizowany waniliowy,Piątnica,dairies,poland,13.0,6.3,4.4,0.1,4.3,7.2,138.0,0,0,0,0,0
0689466527698,Kiss My Oats Granola,Early bird,plant-based-foods-and-beverages,united-states,20.8333333333333,16.6666666666667,2.08333333333333,0.9375,4.16666666666667,8.33333333333333,416.666666666667,0,0,1,1,1
6130760006999,جنينة فواكه و حبوب,,dairies,algeria,14.24,2.2,1.4,0.076,4.3,2.5,94.44,0,0,0,0,0
8013165001272,Yogreco yogurt greco originale bio,Zorbas,dairies,italy,5.2,0.0,0.0,0.2,4.3,8.0,55.0,0,1,0,0,0
8421691694354,Yogurt Natural 0%,Alipende,dairies,spain,4.5999999046326,0.40000000596046,0.20000000298023,0.15000000596046,0.0,4.0999999046326,38.0,0,1,0,0,0
0713733712293,100% Juice,"Meijer,  Meijer  Inc.",plant-based-foods-and-beverages,united-states,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0
7613037014952,"Granola Quinoa, Amêndoas e Chocolate",Nestlé,plant-based-foods-and-beverages,belgium,17.9,16.4,2.5,0.22,7.3,9.1,443.0,1,1,1,0,0
3564706617476,"Barres Pomme aux 5 céréales Seigle, Avoine, Maïs, Blé, Riz x 6","Marque Repère, Grainéa",snacks,france,27.0,6.1,0.6,0.34,8.0,4.6,373.0,7,1,0,0,0
20929121,Meule fruitée,"Chêne d'Argent, Étoile d'Or",dairies,france,0.5,35.0,24.0,1.1,4.3,27.0,428.0,0,1,0,1,0
8480000224880,Yogur natural edulcorado 0%,Hacendado,dairies,spain,4.9,0.1,0.1,0.16,4.3,4.5,39.0,2,0,0,0,0
8435257070216,Yaos coco,Nestlé,dairies,spain,13.1,8.7,6.0,0.13,0.5,2.4,155.0,0,0,0,0,0
3560070275298,Matin Douceur 100% Pur Jus Multifruits,Carrefour,beverages-and-beverages-preparations,france,10.0,0.0,0.0,0.0,4.3,0.0,46.0,0,1,0,0,0
3580283512270,Mandarine Orange Sanguine,GRAND FRAIS,beverages-and-beverages-preparations,france,9.6,0.5,0.0,0.01,4.3,0.7,44.0,0,0,0,0,0
8402001049873,BARRITAS BANANA CACAO,Hacendado,snacks,spain,13.0,6.2,0.7,0.28,20.0,7.7,353.0,6,1,0,0,0
27066447,Verse geitenkaas Natuur 45+,Cabre d'or,dairies,belgium,2.0,12.0,8.4,1.0,0.0,8.0,148.0,0,1,0,0,0
7501040096082,Yoplait kid fraise et probiotique,Yoplait,dairies,france,4.2,1.3,0.8,0.0,0.0,0.0,39.0,0,0,0,0,0
8003170066816,Muesli con more di gelso,"Conad, Verso Natura",plant-based-foods-and-beverages,italy,11.0,7.3,1.0,0.03,11.0,11.0,363.7,0,1,1,0,0
7071688003266,Poppa Müslibar,SØRLANDSCHIPS AS,snacks,norway,2.4000000953674,11.0,7.0999999046326,0.3,5.1999998092651,7.0,352.0,2,0,0,0,0
8017596076113,Pathos yogurt colato greco vaniglia,"Eurospin, Land",dairies,italy,13.7,0.0,0.0,0.16,4.3,7.9,90.0,0,0,0,0,0
8480012020753,Yogur Natural,eliges,dairies,spain,4.9,2.6,1.7,0.15,4.3,3.9,59.0,0,0,0,0,0
3301591000040,Jus de pommes,Planet BIO,plant-based-foods-and-beverages,france,11.4,0.11,0.03,0.001,0.5,0.5,45.0,0,1,1,1,1
0011110138798,Oats almonds and honey Granola,Kroger,plant-based-foods-and-beverages,united-states,20.6349206349206,7.93650793650794,0.793650793650794,0.119047619047619,11.1111111111111,9.52380952380952,412.698412698413,1,0,1,0,0
5601009951765,Sumo 100% Maçã,Pingo Doce,beverages-and-beverages-preparations,portugal,0.5,0.0,1.7,2.5e-05,4.3,0.0,45.0,0,1,0,0,0
8480000094513,Muesli Crunchy,"Hacendado, Siro",plant-based-foods-and-beverages,spain,2.3,13.0,1.5,0.7,8.6,9.3,409.0,1,1,1,0,0
5013803000028,Super Granola,EAT NATURAL,plant-based-foods-and-beverages,belgium,10.3,25.0,7.6,0.08,9.4,10.4,470.0,0,1,1,0,0
3760002697123,Orange pur jus,L'arbre à Jus,plant-based-foods-and-beverages,france,8.3,0.1,0.1,0.01,0.4,0.2,46.0,0,0,1,0,0
20774998,Schoko Hafer-Müsli,Crownfield,plant-based-foods-and-beverages,croatia,8.4,8.6,2.8,0.1,8.7,12.0,388.0,1,1,1,0,0
3350031888731,"Jus de fruits - Multifruits, 100 % pur jus",Monoprix,beverages-and-beverages-preparations,france,9.8,0.0,0.0,0.0,4.3,0.5,42.0,0,1,0,0,0
0762357059673,Juice,"Evolution Fresh,  Evolution Fresh  Inc.",plant-based-foods-and-beverages,united-states,10.83,0.0,0.0,0.005,0.0,0.83,50.0,0,0,1,0,0
8414807541888,Light Granada,Consum,plant-based-foods-and-beverages,spain,5.0,0.0,0.0,0.01,4.3,0.1,22.0,2,0,1,1,1
5601048540876,Líquido Sabor a Morango,"Yoggi,Nestlé",beverages-and-beverages-preparations,portugal,11.9,0.9,0.6,0.11,0.0,2.7,67.0,0,1,0,1,0
3270160860166,Gnocchis au chèvre et aux épinards et à la sauce tomate,"Formule express, Picard",plant-based-foods-and-beverages,france,5.66666666666667,5.0,3.33333333333333,0.655833333333333,1.86666666666667,5.66666666666667,157.0267686177,0,1,1,0,0
8053329290067,100% Spremuta di Arancia Rossa di Sicilia IGP,"Oranfrizer, Unifrutti",plant-based-foods-and-beverages,france,8.2,0.0,0.0,0.005,0.1,0.5,35.0,0,1,1,0,0
3421557501647,Flakes 5 céréales,Terres & Céréales Bio,plant-based-foods-and-beverages,france,2.4,2.4,0.4,0.03,4.3,12.0,373.0,0,1,1,0,0
8590421070512,Fakes Oat,Emma,plant-based-foods-and-beverages,czech-republic,0.7,5.7,1.0,0.0,8.5,14.0,372.0,0,1,1,0,0
5201037404129,Apple Orange Carrot Juice,Life,beverages-and-beverages-preparations,greece,10.6,0.0,0.0,0.0,4.3,0.7,48.0,0,0,0,0,0
5410146417337,Actimel,"Actimel, Danone",beverages,belgium,11.9,1.5,1.0,0.1,4.3,2.8,75.0,0,0,0,1,0
4066447749854,Apfel Strudel Crunchy  - Fach 7,DmBio,plant-based-foods-and-beverages,germany,22.0,15.0,1.7,0.02,8.4,9.6,448.0,0,1,1,0,0
4013618001020,Sechskorn Frischkorn-Müsli,Donath Mühle,plant-based-foods-and-beverages,germany,0.81,2.5,0.4,0.001,13.6,13.6,345.0,0,1,1,0,0
7071688005420,Müsli bar,Poppa,snacks,norway,1.2,17.6,8.8,17.31,4.4,8.8,388.0,4,0,0,1,0
8001120828972,Bastoncini di crusca,"Coop, Coop Bene•sì",plant-based-foods-and-beverages,italy,18.0,4.2,0.6,1.1,33.0,15.0,316.0,0,0,1,0,0
3760178250603,Fromage blanc de Campagne,Sacré Willy,dairies,france,4.4,11.5,11.5,0.1,0.0,3.0,132.0,0,1,0,1,0
7613379095596,Bircher Müesli sans raisins secs,"Coop, Naturaplan",plant-based-foods-and-beverages,france,6.0,7.0,1.0,0.02,9.0,12.0,388.0,0,1,1,0,0
20103699,,"Vitasia, Combino, Vitasia China, Vitasia Chinese Style",plant-based-foods-and-beverages,croatia,1.7,1.0,0.4,0.42,2.9,11.8,364.0,0,1,1,0,0
8436551865546,Flocs integrals 5 cereals,Ametller Origen,plant-based-foods-and-beverages,spain,1.4,2.6,0.5,0.03,4.3,9.5,386.0,0,0,1,0,0
3560070329441,Lentilles,Carrefour Classic,plant-based-foods-and-beverages,belgium,0.5,0.5,0.1,0.3,3.8,6.6,88.0,2,1,1,0,0
4751019538782,"Chocolate, Carob & Orange Muesli",grace,plant-based-foods-and-beverages,latvia,9.8,16.0,2.8,0.0,10.0,14.0,434.0,2,1,1,0,0
0016300168357,"100% premium orange juice, orange",,plant-based-foods-and-beverages,malaysia,9.17,0.0,0.0,0.0,0.0,0.83,46.0,0,0,1,0,0
5400141690163,Muesli repen met hazelnoot,Boni,plant-based-foods-and-beverages,belgium,11.0,13.0,2.6,0.05,25.0,8.1,393.0,2,1,1,0,0
0699632000658,Real Fruit Orange,ROBINSONS,beverages-and-beverages-preparations,united-states,0.0,0.0,0.0,0.13333333333333,4.3,0.0,18.666666666667,10,0,0,0,0
4011800573218,Corny Johgurt,Corny,snacks,france,3.4,10.0,7.4,0.38,4.4,8.1,335.0,3,1,0,0,0
3770006003561,Granola Chocolat - Cacahuète,Les Fruits Détendus,plant-based-foods-and-beverages,france,13.3,19.2,5.5,0.12,8.8,13.4,432.0,0,1,1,0,0
5010029227048,Oreo O's,Oreo,plant-based-foods-and-beverages,united-kingdom,10.75,2.75,0.5,0.2,1.5,7.5,382.5,8,0,1,0,0
5449000046413,Schweppes,Schweppes,beverages-and-beverages-preparations,morocco,4.4,0.0,0.0,0.04,2.0,1.0,19.8,4,0,0,0,0
